0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
10.0,110.0,92.0,111.0,40.0,40.0,65.0,17.0,0.0,116.0,9.0,106.0,0.0,0.0,9.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,123.0,0.0,46.0,0.0,25.0,0.0,0.0,105.0,138.0,0.0,122.0,75.0,187.0,0.0,0.0,84.0,24.0,83.0,133.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,40.0,173.0,15.0,0.0,138.0,0.0,88.0,0.0,0.0,135.0,40.0,112.0,58.0,0.0,6.0,107.0,30.0,18.0,88.0,0.0,40.0,0.0,75.0,75.0,0.0,75.0,110.0,75.0,176.0,116.0,153.0,0.0,75.0,0.0,18.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,84.0,119.0,5.0,0.0,90.0,70.0,106.0,0.0,40.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0
7.0,87.0,73.0,89.0,31.0,31.0,53.0,14.0,0.0,90.0,8.0,84.0,0.0,0.0,8.0,29.0,31.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,98.0,0.0,34.0,0.0,19.0,0.0,0.0,83.0,109.0,0.0,97.0,59.0,146.0,0.0,0.0,67.0,20.0,67.0,105.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,31.0,132.0,12.0,0.0,106.0,0.0,72.0,0.0,0.0,105.0,31.0,89.0,40.0,0.0,3.0,83.0,22.0,14.0,70.0,0.0,31.0,0.0,59.0,59.0,0.0,59.0,87.0,59.0,137.0,90.0,123.0,0.0,59.0,0.0,15.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,64.0,94.0,3.0,0.0,71.0,56.0,84.0,0.0,31.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0
10.0,112.0,94.0,115.0,41.0,41.0,66.0,17.0,0.0,118.0,9.0,108.0,0.0,0.0,9.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,125.0,0.0,47.0,0.0,25.0,0.0,0.0,108.0,142.0,0.0,124.0,77.0,190.0,0.0,0.0,86.0,25.0,84.0,137.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,41.0,175.0,15.0,0.0,140.0,0.0,92.0,0.0,0.0,137.0,41.0,114.0,59.0,0.0,6.0,109.0,30.0,18.0,90.0,0.0,41.0,0.0,77.0,77.0,0.0,77.0,112.0,77.0,178.0,118.0,156.0,0.0,77.0,0.0,18.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,86.0,121.0,5.0,0.0,92.0,71.0,108.0,0.0,41.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0
8.0,88.0,73.0,87.0,30.0,30.0,54.0,15.0,0.0,92.0,5.0,84.0,0.0,0.0,5.0,22.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,99.0,0.0,35.0,0.0,21.0,0.0,0.0,82.0,109.0,0.0,98.0,58.0,151.0,0.0,0.0,63.0,16.0,69.0,97.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,30.0,137.0,13.0,0.0,108.0,0.0,70.0,0.0,0.0,108.0,30.0,89.0,33.0,0.0,3.0,84.0,23.0,10.0,69.0,0.0,30.0,0.0,58.0,58.0,0.0,58.0,88.0,58.0,141.0,92.0,126.0,0.0,58.0,0.0,16.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,63.0,96.0,3.0,0.0,71.0,58.0,84.0,0.0,30.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0
10.0,104.0,88.0,110.0,39.0,39.0,61.0,16.0,0.0,110.0,9.0,100.0,0.0,0.0,9.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,116.0,0.0,47.0,0.0,25.0,0.0,0.0,103.0,135.0,0.0,116.0,72.0,181.0,0.0,0.0,81.0,25.0,77.0,131.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,39.0,166.0,15.0,0.0,131.0,0.0,87.0,0.0,0.0,129.0,39.0,106.0,58.0,0.0,6.0,104.0,30.0,17.0,84.0,0.0,39.0,0.0,72.0,72.0,0.0,72.0,104.0,72.0,169.0,110.0,147.0,0.0,72.0,0.0,18.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,81.0,115.0,4.0,0.0,87.0,65.0,100.0,0.0,39.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0
9.0,99.0,82.0,95.0,34.0,34.0,61.0,16.0,0.0,104.0,5.0,96.0,0.0,0.0,5.0,14.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,112.0,0.0,33.0,0.0,23.0,0.0,0.0,89.0,117.0,0.0,110.0,66.0,169.0,0.0,0.0,71.0,14.0,78.0,92.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,34.0,156.0,14.0,0.0,123.0,0.0,76.0,0.0,0.0,123.0,34.0,102.0,24.0,0.0,1.0,93.0,25.0,7.0,79.0,0.0,34.0,0.0,66.0,66.0,0.0,66.0,99.0,66.0,158.0,104.0,140.0,0.0,66.0,0.0,16.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,72.0,106.0,1.0,0.0,80.0,65.0,96.0,0.0,34.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0
8.0,93.0,77.0,89.0,33.0,33.0,56.0,15.0,0.0,97.0,6.0,90.0,0.0,0.0,6.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,105.0,0.0,31.0,0.0,19.0,0.0,0.0,82.0,109.0,0.0,102.0,62.0,154.0,0.0,0.0,68.0,15.0,72.0,97.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,33.0,142.0,11.0,0.0,115.0,0.0,72.0,0.0,0.0,112.0,33.0,95.0,34.0,0.0,3.0,85.0,21.0,11.0,74.0,0.0,33.0,0.0,62.0,62.0,0.0,62.0,93.0,62.0,144.0,97.0,129.0,0.0,62.0,0.0,13.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,68.0,97.0,3.0,0.0,73.0,60.0,90.0,0.0,33.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0
9.0,108.0,90.0,108.0,39.0,39.0,64.0,17.0,0.0,114.0,7.0,104.0,0.0,0.0,7.0,26.0,39.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,121.0,0.0,40.0,0.0,23.0,0.0,0.0,100.0,131.0,0.0,120.0,73.0,183.0,0.0,0.0,80.0,20.0,82.0,113.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,39.0,169.0,14.0,0.0,136.0,0.0,85.0,0.0,0.0,131.0,39.0,110.0,43.0,0.0,4.0,102.0,29.0,12.0,86.0,0.0,39.0,0.0,73.0,73.0,0.0,73.0,108.0,73.0,170.0,114.0,149.0,0.0,73.0,0.0,15.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,82.0,114.0,3.0,0.0,87.0,69.0,104.0,0.0,39.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0
7.0,87.0,73.0,85.0,31.0,31.0,53.0,14.0,0.0,92.0,7.0,84.0,0.0,0.0,7.0,23.0,31.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,98.0,0.0,32.0,0.0,18.0,0.0,0.0,81.0,108.0,0.0,95.0,59.0,144.0,0.0,0.0,66.0,18.0,67.0,98.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,31.0,132.0,11.0,0.0,107.0,0.0,71.0,0.0,0.0,104.0,31.0,89.0,33.0,0.0,3.0,82.0,18.0,11.0,70.0,0.0,31.0,0.0,59.0,59.0,0.0,59.0,87.0,59.0,132.0,92.0,122.0,0.0,59.0,0.0,13.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,63.0,93.0,2.0,0.0,70.0,56.0,84.0,0.0,31.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0
8.0,81.0,67.0,72.0,28.0,28.0,47.0,13.0,0.0,84.0,5.0,76.0,0.0,0.0,5.0,20.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,89.0,0.0,29.0,0.0,19.0,0.0,0.0,72.0,95.0,0.0,88.0,54.0,128.0,0.0,0.0,59.0,12.0,61.0,85.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,119.0,11.0,0.0,94.0,0.0,62.0,0.0,0.0,97.0,28.0,80.0,25.0,0.0,3.0,76.0,16.0,10.0,62.0,0.0,28.0,0.0,54.0,54.0,0.0,54.0,81.0,54.0,121.0,84.0,112.0,0.0,54.0,0.0,13.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,56.0,88.0,3.0,0.0,65.0,53.0,76.0,0.0,28.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0
