1,47,50,110,111,293,296,318,356,364,527,589,593,750,858,899,903,904,908,912,922,923,924,953,1089,1172,1178,1193,1196,1198,1200,1204,1206,1207,1208,1209,1210,1213,1214,1219,1221,1222,1225,1227,1233,1234,1258,1270,1281,1704,1721,2010,2019,2028,2324,2329,2571,2628,2858,2959,3000,3089,3147,3307,3435,3462,3578,3681,3949,4011,4226,4262,4973,4993,5008,5618,5690,5952,5995,6016,6669,7153,7361,27773,44555,48516,48780,57183,58559,60069,68157,73881,76111,77846,78499,79132,89759,91529,92259,94677,96304,96829,99114,109487,112552,116797,122912,122914,167392,177765,195159,202439
4.0,4.5,4.0,4.0,5.0,5.0,5.0,4.5,4.5,4.5,4.5,5.0,4.0,3.5,4.5,4.5,4.0,3.0,3.5,3.0,4.0,3.0,3.0,4.0,4.5,4.0,4.0,4.5,4.0,4.0,5.0,4.0,5.0,3.0,4.5,4.5,4.0,4.5,4.0,4.5,4.5,4.0,4.5,4.0,3.5,4.0,4.0,4.5,3.5,4.0,4.0,4.5,4.0,3.5,3.0,4.5,4.5,,4.0,4.5,4.5,4.0,5.0,4.5,4.5,3.5,5.0,4.5,3.5,4.5,4.0,5.0,4.0,4.5,4.5,4.0,4.5,4.5,3.5,4.0,3.5,4.5,5.0,3.5,4.0,5.0,4.5,3.5,4.5,4.0,3.0,4.0,,,4.0,4.5,4.0,3.0,4.5,,,3.5,4.5,3.0,5.0,,4.0,,3.5,4.5,,
2.5,5.0,4.5,4.5,4.5,4.0,4.5,4.5,4.0,,4.5,3.5,5.0,2.0,5.0,3.0,4.0,4.5,4.0,4.5,,3.0,4.0,5.0,4.0,3.0,,3.5,3.5,4.0,4.0,4.0,3.5,4.5,5.0,3.0,2.5,3.5,4.5,3.5,5.0,5.0,3.5,3.5,4.0,4.0,4.0,1.5,,3.5,3.0,,,5.0,1.0,4.5,3.5,1.5,5.0,5.0,,,3.5,,,,3.5,4.0,4.5,2.5,3.0,5.0,4.5,4.5,,,,4.0,1.0,3.5,,4.0,3.5,4.0,4.0,3.5,3.0,,4.5,,4.0,,,,,2.5,,1.0,,,,4.5,3.5,,1.5,2.0,,,,,,
5.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,4.5,4.5,5.0,5.0,4.5,4.5,4.5,4.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,4.5,5.0,5.0,5.0,4.5,5.0,5.0,4.5,4.5,4.5,5.0,4.5,5.0,4.5,4.0,4.5,5.0,4.5,5.0,4.5,5.0,5.0,3.0,4.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,4.5,5.0,4.5,5.0,4.0,5.0,4.5,4.5,5.0,5.0,5.0,5.0,,,5.0,5.0,4.5,5.0,5.0,,,5.0,5.0,5.0,4.5,4.0,5.0,,,4.5,,
,4.0,4.5,3.5,4.5,4.0,4.5,2.0,4.0,3.5,3.0,,3.5,4.0,5.0,,,,,2.5,2.5,,4.0,,4.0,4.0,3.5,3.5,3.5,3.0,,,3.0,,5.0,4.0,3.5,4.5,1.5,,5.0,4.0,4.0,4.5,4.0,,1.5,3.5,,4.0,3.0,,,3.5,3.0,4.5,3.5,2.0,5.0,5.0,3.5,,3.5,,,,3.5,3.5,4.5,4.0,4.0,4.5,4.0,3.0,,4.5,1.5,3.5,3.5,5.0,,4.0,5.0,4.0,3.5,4.5,4.0,,3.5,3.0,4.0,,4.0,,,4.5,,3.0,4.0,,,4.0,4.0,4.0,3.0,3.0,,,,,,
4.0,4.5,4.5,4.0,2.5,4.0,4.0,5.0,3.0,3.5,4.0,3.0,3.5,5.0,4.5,4.0,4.5,4.5,3.0,4.5,4.5,5.0,4.5,4.0,3.0,3.0,5.0,3.5,4.0,4.5,4.0,5.0,4.0,4.5,3.0,3.5,3.5,3.5,4.0,5.0,5.0,5.0,4.0,4.0,4.5,4.0,4.5,3.0,4.5,4.0,2.0,4.5,5.0,3.0,4.0,3.5,4.0,2.0,2.5,5.0,4.0,4.5,3.0,5.0,4.5,4.5,3.5,4.0,4.0,3.5,4.0,1.0,4.0,5.0,4.0,5.0,4.0,4.5,5.0,4.5,5.0,4.0,4.5,,4.0,2.5,3.5,,2.5,4.0,3.0,,4.5,,4.0,4.0,4.5,3.0,,,,,,3.0,3.0,,,2.0,,3.5,3.5,
4.0,4.5,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.5,4.5,4.0,4.0,4.0,4.5,,,4.0,,,,3.0,4.0,,5.0,,,4.5,5.0,4.5,5.0,5.0,3.5,,5.0,4.0,3.5,4.5,5.0,4.0,4.0,4.0,,3.5,3.5,,5.0,4.0,,3.5,3.5,,5.0,4.0,,4.0,4.0,3.0,5.0,5.0,5.0,,4.0,,,,4.5,4.5,4.5,4.0,4.5,4.5,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,,4.0,4.5,5.0,,4.0,4.5,,4.0,4.0,4.5,,,,4.0,4.0,,4.0,,1.0,,4.0,4.0,4.0,5.0,3.5,4.0,,,3.0,4.0,
4.5,4.5,3.5,4.0,4.0,4.0,5.0,4.0,4.5,3.5,4.0,4.5,5.0,3.0,4.5,,3.5,,,,,3.0,5.0,,4.0,,,4.5,4.5,3.5,4.5,,4.0,,4.0,,4.0,4.0,5.0,4.0,4.5,4.5,,4.0,,,5.0,4.5,,4.5,4.0,3.5,,4.0,,4.0,4.5,3.5,4.5,4.5,3.5,,4.5,3.5,,3.5,4.0,,3.5,4.0,4.0,4.0,3.5,3.0,,3.0,,3.0,4.0,5.0,,3.0,4.0,4.0,,4.5,4.5,,4.5,4.5,4.5,3.5,,,4.0,4.5,4.5,4.5,3.5,3.0,,3.5,4.5,5.0,5.0,3.5,5.0,4.5,,5.0,3.5,
,2.5,2.5,2.0,4.0,2.0,4.0,2.5,2.5,2.5,2.0,2.5,3.0,4.0,4.0,,4.5,3.5,3.5,3.5,4.0,4.0,5.0,3.0,3.0,,3.5,3.5,3.0,2.5,2.5,3.5,4.0,2.5,4.5,3.5,2.0,3.0,3.0,4.0,3.5,3.5,,3.5,,2.5,4.0,3.0,3.0,1.5,1.0,4.0,4.5,2.0,2.0,2.0,2.5,1.0,2.5,2.5,4.0,3.5,2.0,4.0,3.5,3.5,2.0,3.0,2.5,2.0,3.0,2.0,2.5,3.0,3.0,5.0,3.0,2.5,2.5,2.5,4.0,2.5,3.0,2.5,2.0,,2.0,,2.5,3.0,2.5,,,,3.0,2.5,4.0,2.0,2.0,,,3.5,2.0,2.0,3.0,1.0,,,,,,
4.5,5.0,3.5,4.5,4.0,2.5,3.5,4.5,5.0,3.5,5.0,5.0,5.0,2.5,4.0,,,2.5,,,,,3.0,3.5,4.5,,,5.0,4.0,3.5,5.0,2.5,2.5,3.5,3.0,,4.5,4.5,5.0,2.0,4.5,3.0,3.0,2.5,5.0,2.5,5.0,5.0,,4.0,3.5,,2.5,5.0,,3.0,5.0,1.5,4.0,4.0,,,4.5,,,2.5,4.5,,4.0,2.5,4.5,2.0,,4.5,2.5,4.0,,4.5,4.0,,,4.5,4.5,,,1.5,2.5,,3.5,3.0,3.5,,,,4.0,4.0,,3.5,,1.5,,,3.0,3.0,3.5,3.0,2.5,,,4.0,,
5.0,4.5,4.0,,4.0,,5.0,5.0,4.5,5.0,5.0,5.0,5.0,,4.5,3.5,,5.0,4.0,,3.0,3.5,3.0,,5.0,5.0,4.0,4.0,4.5,4.5,5.0,,4.0,4.0,3.5,4.5,4.0,,5.0,5.0,,,,5.0,,,4.0,5.0,,4.0,5.0,,,5.0,5.0,,5.0,4.0,,4.5,,,4.5,,5.0,,5.0,,4.0,,4.5,5.0,5.0,4.5,4.5,4.5,5.0,4.5,,5.0,,5.0,,5.0,5.0,5.0,4.5,,4.0,5.0,5.0,5.0,,4.0,4.5,4.5,,3.5,4.0,,,4.0,4.0,4.5,4.5,3.5,5.0,4.0,,5.0,5.0,5.0
3.5,5.0,3.5,3.5,4.5,4.5,5.0,5.0,3.5,4.0,5.0,4.5,4.5,4.0,4.0,4.5,4.0,4.0,4.0,3.5,,3.0,4.0,4.0,4.5,,,5.0,3.5,5.0,4.5,,4.5,,3.5,,3.5,5.0,4.0,4.5,5.0,4.0,4.0,4.5,,,4.5,5.0,,4.0,4.0,4.0,,4.5,4.5,3.5,4.0,2.0,5.0,5.0,,,4.0,,,,5.0,4.5,,4.0,4.0,4.0,3.5,4.0,,,4.0,3.5,4.5,4.0,,4.0,4.0,,,4.5,4.0,,4.0,4.0,4.0,,,,4.0,5.0,4.0,4.5,,,,,4.0,3.5,4.0,,4.0,,,3.5,,
,3.0,4.0,3.5,4.0,4.5,4.0,4.5,,4.0,4.0,3.5,4.5,3.5,5.0,5.0,5.0,4.5,4.0,4.5,4.0,5.0,4.5,4.0,4.0,4.0,,4.0,4.0,3.5,4.0,4.5,4.5,,5.0,4.5,4.0,3.5,4.5,4.5,5.0,4.0,4.0,4.5,4.5,5.0,4.5,4.5,,4.0,3.5,4.0,5.0,,4.0,,4.5,3.0,4.0,4.5,4.5,5.0,,4.5,4.5,4.5,4.5,5.0,,4.0,4.5,4.0,4.0,5.0,,4.5,,5.0,,,,5.0,4.0,,,,4.0,,4.0,4.0,,,,4.5,,4.0,,4.5,,,,,4.0,4.0,,4.0,3.5,4.0,,,4.0,4.5
3.5,4.0,4.5,3.5,4.5,4.5,5.0,4.0,3.5,,4.0,2.5,4.5,4.0,4.5,,4.0,,4.0,3.5,,3.5,4.0,4.5,4.5,4.5,,4.5,3.5,3.0,4.0,,3.5,,3.5,,3.0,3.5,3.0,3.5,4.5,4.0,3.5,3.5,4.0,4.0,4.0,3.0,4.0,4.0,3.0,,4.0,4.0,4.0,4.0,4.0,,4.5,4.5,,,4.0,,,,3.0,,4.0,4.5,4.0,4.0,4.5,3.5,,,,3.5,2.5,4.5,,4.5,5.0,3.5,4.5,4.5,4.0,,3.5,3.5,3.5,3.5,,4.0,,4.0,4.0,3.5,4.0,3.0,,4.0,4.0,4.0,4.0,4.0,,,,,,
