"","x"
"Action",0.0235636869544463
"Adventure",0.053196139224235
"Animation",0.0517781480504487
"Children",0.0349679529313511
"Comedy",0.0207817791289123
"Crime",0.0173761334659342
"Drama",0.0260241019841152
"Fantasy",0.0292133876410111
"Film.Noir",0.0012409367401351
"Horror",0.0050198224232647
"Musical",0.00945965003876954
"Mystery",0.0121701454504064
"Romance",0.0129088459458231
"Sci.Fi",0.0209536231186282
"Thriller",0.0256016250802026
"War",0.0100736964294515
"Western",0.00144955837183156
"Actor.1",0.141987376266176
"Actor.2",0.156095276486912
"Actor.3",0.155784482936914
"directors",0.147343577179803
"country",0.0430100541512271
